Margueritte, David >> activProfCinqDerniereDto >> commentaire;Bénéfice net (2035) Bénéfices des années précédentes déclarées dans la précédente déclaration. Activités d’avocat libéral et de formateur en droit public
FUGIT, Jean-Luc >> activCollaborateursDto >> Lougraida-DUMAS Myriam >> descriptionActivite;Avocat : prestations de conseil et de contentieux en droit public à l'attention des collectivités locales
LARRIVE, Guillaume >> activProfCinqDerniereDto >> item >> employeur;Avocat
FIORENTINO, Christophe >> activProfCinqDerniereDto >> description;AVOCAT
GOMEZ-BASSAC, Valerie >> participationFinanciereDto >> item >> remuneration;27850 EN 2016 EN TANT QU'AVOCATE ASSOCIE GERANTE
Avia, Laetitia >> activProfCinqDerniereDto >> item >> description;Avocate en exercice libéral
Valetta-Ardisson, Alexandra >> activCollaborateursDto >> LEROYER Céline >> descriptionActivite;Avocat
CAPUS, Emmanuel >> activConsultantDto >> description;Avocat
Grau, Romain >> activProfCinqDerniereDto >> description;Avocat
SOW, Sileymane >> participationDirigeantDto >> item >> nomSociete;Ordre des avocats de Rouen
Foveau, Tristan >> activProfConjointDto >> employeurConjoint;Selarl 
        [Données non publiées]
     Avocats
LEGENDRE, Jean-Paul >> activProfConjointDto >> activiteProf;Avocate
SOW, Sileymane >> participationFinanciereDto >> nomSociete;SELARL MQS Avocats
Nachbar, Philippe >> activCollaborateursDto >> LOCTIN Antoine >> employeur;Avocat au Barreau de Paris exerçant à titre individuel
Moutchou, NaÃ¯ma >> activProfCinqDerniereDto >> description;Avocat
BLANC, Jean-Baptiste >> activProfCinqDerniereDto >> item >> description;Avocat
Vigier, Jean-françois >> activProfCinqDerniereDto >> description;Avocat « off council «
FAURE, Bertrand >> fonctionBenevoleDto >> nomStructure;Ordre des avocats de Saint-Brieuc
Poniatowski, Sébastien >> activProfCinqDerniereDto >> employeur;DPS Avocats
CORBIERE, Alexis >> activProfConjointDto >> activiteProf;Avocat
THOUROT, Alice >> participationDirigeantDto >> item >> activite;AVOCATS
MAZARS, stéphane >> participationFinanciereDto >> item >> nomSociete;scp d'avocats
THOUROT, Alice >> observationInteretDto >> contenu;Omission du Barreau de Paris en octobre 2018Dissolution de la SAS d'AVOCAT en septembre 2018 - dissolution en cours
Albertini, Xavier >> participationFinanciereDto >> item >> nomSociete;ACG Société Avocats
BAKHTIARI MOGHADDAM, Zartoshte >> activProfCinqDerniereDto >> description;Avocat libéral
AESCHLIMANN, MANUEL >> activProfConjointDto >> activiteProf;Avocat à la Cour
Albertini, Xavier >> participationFinanciereDto >> item >> commentaire;Activité Professionnelle Avocat
Arminjon, Christophe >> activProfCinqDerniereDto >> description;Avocat associé cogérant
Thieriot, jean Louis >> activProfCinqDerniereDto >> item >> description;Avocat
Poniatowski, Sébastien >> activProfCinqDerniereDto >> description;Avocat
Rouly, Nicolas >> activProfCinqDerniereDto >> item >> description;Avocat
SABATINI, Anaïs >> activProfCinqDerniereDto >> item >> employeur;Avocate au sein de la SELARL NESE en collaboration libérale
Albertini, Xavier >> activProfCinqDerniereDto >> item >> commentaire;Avocat Associé Département Droit Fiscal/Droit des Sociétés
BILLOUDET, GUY >> activProfConjointDto >> employeurConjoint;Avocat -
vabre, caroline >> activProfCinqDerniereDto >> description;Profession libérale AVOCAT exercée à titre individuel
chalopin, philippe >> activProfCinqDerniereDto >> description;AVOCAT
MAZARS, stéphane >> participationDirigeantDto >> item >> nomSociete;SCP d'avocats
Auslender, Jérôme >> participationFinanciereDto >> nomSociete;LKJ AVOCATS
SOW, Sileymane >> activProfCinqDerniereDto >> item >> employeur;SELARL MQS Avocats
SOW, Sileymane >> activProfCinqDerniereDto >> item >> description;Avocat associé co-gérant
Meunier, Frederique >> activProfCinqDerniereDto >> description;Avocat
BUGIS, Pascal >> activProfCinqDerniereDto >> description;Avocat
LOUIS, Alexandra >> activCollaborateursDto >> BLANC GERARD >> employeur;Avocat  libéral par ailleurs au Barreau de Paris
ALIOT, Louis >> activProfCinqDerniereDto >> item >> employeur;avocat
AUBRY, MARTINE >> activProfConjointDto >> employeurConjoint;Avocat en retraite
Ferrand, Richard >> activProfConjointDto >> activiteProf;AVOCATE
Cicurel, Ilana >> activProfConjointDto >> activiteProf;Avocat, associé
Thieriot, jean Louis >> activProfCinqDerniereDto >> item >> employeur;Suchet avocats
DEPONDT, Jérôme >> activProfCinqDerniereDto >> description;avocat
SCHALCK, ELSA >> activProfCinqDerniereDto >> item >> employeur;Cabinet avocat individuel
Masquelier, Frédéric >> activProfCinqDerniereDto >> commentaire;Je n'ai exercé que les fonctions d'avocat pendant cette période étant inscrit au barreau depuis janvier 2000. Je poursuis mon activité professionnelle
BOLE, Cédric >> activProfConjointDto >> employeurConjoint;Etude d'Avocats 
        [Données non publiées]
Copé, Jean-François >> activConsultantDto >> commentaire;Activité en cours. JFC Conseil est une société par actions simplifiée à associé unique, créée pour l’exercice d’une « activité de conseil connexe à l’exercice de la profession d’avocat » dans les conditions fixées par l’article 111 du décret n° 91-1197 du 27 novembre 1991 et après approbation du Conseil de l’ordre des avocats de Paris en date du 22 octobre 2019. Les rémunérations et revenus ne sont connus qu'à la clôture de l'année fiscale en cours.
Vogel, Louis >> activConsultantDto >> commentaire;J'ai exercé parallèlement à mon activité d'avocat une activité limitée de consultation en tant que Professeur de droit. J'ai cessé cette activité en 2018.
longuet, gerard >> activProfConjointDto >> employeurConjoint;avocat
DEL POSO, thierry >> activProfCinqDerniereDto >> item >> commentaire;J'AI CESSE MON ACTIVITE d'avocat
        [Données non publiées]
Gauvain, Raphael >> activProfConjointDto >> activiteProf;Avocate exerçant à titre individuel.
LOUIS, Alexandra >> activProfCinqDerniereDto >> item >> description;AVOCAT
PULVAR, Audrey >> activConsultantDto >> item >> nomEmployeur;Ordre des Avocats
paoli-gagin, Vanina >> participationDirigeantDto >> commentaire;Je représente le Cabinet Law Impact Avocat au Conseil d'Administration de l'Association Transition Forum
FAVREAU, GILBERT >> activProfCinqDerniereDto >> description;Avocat
DOMINATI, PHILIPPE >> activProfConjointDto >> employeurConjoint;AVOCATE
LEROY, Sebastien >> activProfCinqDerniereDto >> commentaire;Rémunéré en qualité de gérant de la SELARL d'Avocats.
VIRY, Stéphane >> activProfCinqDerniereDto >> description;avocat
MANSOURI, Amèle >> activProfCinqDerniereDto >> item >> description;AVOCAT
leclercq, Caroline >> participationDirigeantDto >> item >> activite;cabinet d'avocats
ZORN, Caroline >> participationDirigeantDto >> nomSociete;Syndicat des Avocats de France (Section de Strasbourg)
LEROY, Sebastien >> participationFinanciereDto >> item >> nomSociete;SELARL LEGIPOLIS AVOCATS
NICOLIN, Yves >> activProfCinqDerniereDto >> employeur;AVOCAT
ESCUDIER, julie >> activProfCinqDerniereDto >> description;Avocate
Houlié, Sacha >> activProfCinqDerniereDto >> description;Avocat libéral
SYLLA, Sira >> observationInteretDto >> contenu;J'envisage de suspendre mon activité d'avocat à la fin de l'année 2017.
LABELLE, pascal >> activProfConjointDto >> employeurConjoint;avocat
VOITURIEZ, Anne >> activProfCinqDerniereDto >> item >> description;avocate
D'INTORNI, CHRISTELLE >> activProfCinqDerniereDto >> description;AVOCATE ASSOCIEE
Nicolas, Gaëlle >> activProfCinqDerniereDto >> commentaire;Depuis fin décembre 2019, j'ai sollicité mon omission du tableau de l'ordre des avocats du Barreau de Quimper auprès duquel j'étais inscrite, l'exercice de mes mandats ne rendant plus possible le maintien de mon activité professionnelle. Je n'ai plus de revenu au titre des bénéfices non commerciaux depuis 2019
BOUZERA, Fouziya >> activProfCinqDerniereDto >> description;AVOCATE
ANTHOINE, Emmanuelle >> activProfCinqDerniereDto >> description;avocate
LIGONNIERE, MARIE >> activProfCinqDerniereDto >> item >> description;AVOCAT
KERN, Bertrand >> activProfConjointDto >> employeurConjoint;Avocate/ Centre de Formation
Cauchetier, Yann >> participationDirigeantDto >> item >> activite;Avocat Gérant
Rivière, Jérôme >> activConsultantDto >> item >> description;Avocat
bonnecarrere, philippe >> activProfCinqDerniereDto >> item >> employeur;exercice liberal en tant que membre de la scp davocats portant notamment mon nom
Arminjon, Christophe >> activProfCinqDerniereDto >> employeur;Selarl ALTERIUS Avocats
DIARD, ERIC >> activProfCinqDerniereDto >> description;avocat
Luciano, Kevin >> activProfCinqDerniereDto >> item >> description;Avocat
Vogel, Louis >> participationDirigeantDto >> item >> nomSociete;Selas Vogel & Vogel, société d'avocats
LEVY, Geneviève >> activProfConjointDto >> activiteProf;Avocat 
        [Données non publiées]
BRIAND, Sacha >> activProfCinqDerniereDto >> description;avocat, organisme agréé pour la formation des élus locaux
MAZARS, stéphane >> activProfCinqDerniereDto >> commentaire;avocat généraliste au sein d'une SCP au barreau de l'AVEYRON je ne connais pas encore mon BNC de 2017. Pendant mon mandat de sénateur mes revenus pro étaient moins importants (moins d'industrie) en accord avec mes associés.
PIN, Virginie >> activProfCinqDerniereDto >> description;avocat
DUFFOURG, ALAIN >> activProfCinqDerniereDto >> commentaire;Pour cette année 2020 je conserve mon activité d'avocat Les revenus de 2020 sont indiqués à titre provisoire , profession libérale mon exercice n'est pas clos
Masquelier, Frédéric >> activProfCinqDerniereDto >> description;AVOCAT - gérant majoritaire de la SELARL
        [Données non publiées]
Thieriot, jean Louis >> participationFinanciereDto >> item >> commentaire;Cabinet d'avocat ayant une activité résiduelle compte tenu de mes autres activités. Je l'ai évalué sur la base d'une année de chiffre d'affaire, mais compte tenu de ma baisse d'activité, la valeur est certainement beaucoup plus faible.
Copé, Jean-François >> activProfCinqDerniereDto >> item >> commentaire;J'ai intégré le Cabinet Stehlin et associés en tant qu'avocat of counsel depuis le 1er octobre 2017 pour un contrat à durée indéterminée. 
        [Données non publiées]
JEAN, TERLIER >> participationFinanciereDto >> remuneration;cf.remuneration participation à des organes dirigeants. Rémunération en qualité de gérant de société d'avocats
Nicolas, Gaëlle >> activProfCinqDerniereDto >> description;Avocat
Muriel, JOURDA >> activProfCinqDerniereDto >> description;avocat
Galut, Yann >> activProfCinqDerniereDto >> item >> description;Avocat
CANARD, Céline-Marie >> activProfCinqDerniereDto >> item >> description;Vacataire (Membre du jury d'examen d'entrée de l'Ecole d'Avocats Nord-Ouest)
Arminjon, Christophe >> participationDirigeantDto >> item >> activite;Holding Cabinet d'Avocats
MORENAS, Adrien >> activProfConjointDto >> activiteProf;Cabinet d'avocats
GUERINI, JEAN NOEL >> activProfConjointDto >> activiteProf;- Avocat individuel - Retraitée
BLANC, Jean-Baptiste >> activProfCinqDerniereDto >> item >> commentaire;Le résultat de 2019 est déficitaire ( - 57 149 euros) en raison d'une régularisation de charges liée à l'exercice 2018 ayant donné lieu à un résultat exceptionnel.Avocat au Barreau d'Avignon depuis le 24/06/2005, je n'exerce plus mon activité d'avocat depuis mon élection et me suis fait omettre du barreau le 18 Mars 2021.
THOUROT, Alice >> participationFinanciereDto >> nomSociete;SAS D'AVOCAT THOUROT
LEGENDRE, Jean-Paul >> activProfCinqDerniereDto >> description;Avocat
Albertini, Xavier >> activProfCinqDerniereDto >> item >> employeur;ACG Société Avocats
MILLER, Laure >> activProfCinqDerniereDto >> item >> description;avocat
bonnecarrere, philippe >> activProfCinqDerniereDto >> item >> commentaire;non connu pour 2017 sachant que depuis mon election au senat je ne perçois rien du cabinet d'avocat auquel je suis associé, le montant declaré correspondant en realité à des remboursements de cotisations trop payées au seul credit de la scp et non de moi meme Je prendrai officiellement ma retraite d'avocat au 01012021 et conformément à ce que j'ai mis en place depuis mon élection en 2014 je ne perçois aucune rémunération de la SCP d'avocats à laquelle je suis associé jusqu'à la fin de l'année 2020.
Tourret, Alain >> activProfCinqDerniereDto >> description;Avocat
BAKHTIARI MOGHADDAM, Zartoshte >> activProfCinqDerniereDto >> employeur;AARPI FIDERE AVOCATS
LEROY, Sebastien >> activProfCinqDerniereDto >> description;Avocat
leclercq, Caroline >> participationDirigeantDto >> item >> nomSociete;AARPI ACCESS AVOCAT
Houlié, Sacha >> activProfCinqDerniereDto >> employeur;Avocat libéral
D'INTORNI, CHRISTELLE >> activProfConjointDto >> activiteProf;gérant société avocat
Mohamed Soilihi, Thani >> activProfCinqDerniereDto >> description;avocat
MOREL, jean-philippe >> activProfCinqDerniereDto >> description;avocat
LEGUILLE-BALLOY, Martine >> activConsultantDto >> description;Avocat
THOUROT, Alice >> participationFinanciereDto >> nomOrganisationConseil;SAS D'AVOCAT
MIRALLES, PATRICIA >> activCollaborateursDto >> Courageux Vincent >> descriptionActivite;Avocat
Brosse, Laurent >> activProfCinqDerniereDto >> commentaire;Avocat au barreau des Hauts-de-Seine.Montants 2020 arrêtés en août.
schillinger, patricia >> activCollaborateursDto >> Fichet-Boyle Isabelle >> employeur;Avocate inscrite au barreau de l'EURE depuis le 02.01.2019 à Dangu (27720) Conseillère municipale depuis le 23.03.2014 à Dangu
VIRY, Stéphane >> participationFinanciereDto >> commentaire;SCP d'Avocats constituée en mars 2017
bonnecarrere, philippe >> participationDirigeantDto >> item >> nomSociete;cogerant de la scp d avocats
LABELLE, pascal >> activProfCinqDerniereDto >> commentaire;Cessation d'activité d'avocat au 31/12/2020
RAYEUR-KLEIN, LAURENCE >> activProfConjointDto >> activiteProf;AVOCAT
pericard, arnaud >> activProfCinqDerniereDto >> item >> description;avocat
