MOREL A L'HUISSIER, PIERRE - 2019-09-10-12:31:15 >> activProfCinqDerniereDto >> description,AVOCAT
MAZARS, stéphane - 2017-08-14-16:56:15 >> participationDirigeantDto >> item >> nomSociete,SCP d'avocats
Gauvain, Raphael - 2017-08-05-11:36:29 >> activProfCinqDerniereDto >> description,Avocat associé chez Boken
MAZARS, stéphane - 2017-10-30-15:19:22 >> activProfCinqDerniereDto >> employeur,associé dans une SCP d'AVOCATS
Thieriot, jean Louis - 2018-09-18-15:20:27 >> activProfCinqDerniereDto >> item >> description,Avocat
Questel, Bruno - 2019-01-16-17:55:11 >> activProfCinqDerniereDto >> description,Avocat
BLANC, Etienne - 2018-04-04-11:11:16 >> activProfCinqDerniereDto >> commentaire,Membre du barreau des avocats de l'Ain sans exercer.
ANTHOINE, Emmanuelle - 2018-01-23-10:35:04 >> activProfCinqDerniereDto >> commentaire,J'exerce mon activité professionnel d'avocate depuis janvier 1990
MAZARS, stéphane - 2017-08-14-16:56:15 >> activProfCinqDerniereDto >> description,avocat associé
THOUROT, Alice - 2017-11-30-13:14:22 >> participationFinanciereDto >> nomSociete,SAS D'AVOCAT THOUROT
KAMARDINE, Mansour - 2019-12-13-19:13:29 >> activProfCinqDerniereDto >> description,AVOCAT
Grau, Romain - 2017-08-17-14:00:37 >> activProfCinqDerniereDto >> employeur,Taj société d'avocats
Meunier, Frederique - 2018-03-16-11:55:11 >> activProfCinqDerniereDto >> description,Avocat
LEGUILLE-BALLOY, Martine - 2017-08-21-11:35:52 >> activConsultantDto >> description,Avocat
Avia, Laetitia - 2018-03-31-21:43:06 >> activProfCinqDerniereDto >> item >> description,Avocate en exercice libéral
Degois, Typhanie - 2017-07-22-16:08:07 >> activProfCinqDerniereDto >> item >> employeur,Cabinet Christel Boissel Avocat
BOUZERA, Fouziya - 2017-09-19-15:47:31 >> activProfCinqDerniereDto >> description,AVOCATE
GOMEZ-BASSAC, Valerie - 2018-06-08-19:55:48 >> participationFinanciereDto >> item >> remuneration,27850 EN 2016 EN TANT QU'AVOCATE ASSOCIE GERANTE
THOUROT, Alice - 2017-08-18-09:02:12 >> participationFinanciereDto >> nomSociete,SAS D'AVOCAT THOUROT
GOULET, NATHALIE - 2018-11-05-14:30:30 >> activProfCinqDerniereDto >> item >> description,Avocat Collaborateur
DUPOND-MORETTI, Eric - 2020-10-30-15:14:16 >> valeursNonEnBourseDto >> item >> denomination,SELARLU DUPOND-MORETTI AVOCAT
